year,POPGROWTH,CDR,CBR,GDP
1989,3.082181125,14.897,44.304,3.764443407
1990,3.193235329,14.914,43.986,7.045071644
1991,3.327460565,14.951,43.642,2.071988211
1992,3.412765688,14.999,43.285,0.584322134
1993,3.376900183,15.043,42.93,1.205800808
1994,3.195216588,15.068,42.592,1.567661766
1995,2.931260372,15.05,42.289,3.569911868
1996,2.647339411,14.963,42.041,4.544366802
1997,2.428288872,14.796,41.854,3.525278191
1998,2.317537614,14.544,41.73,3.708511596
1999,2.34674369,14.211,41.663,4.863863755
2000,2.468906027,13.808,41.648,4.520784635
2001,2.61242421,13.356,41.673,6.070808288
2002,2.722291754,12.882,41.718,7.093194984
2003,2.798988535,12.408,41.755,6.672789829
2004,2.827162562,11.945,41.764,7.50381466
2005,2.823755446,11.496,41.716,7.476319258
2006,2.816486775,11.053,41.587,6.53222139
2007,2.823941465,10.605,41.371,6.768535202
2008,2.8414655,10.146,41.071,5.68641686
2009,2.872958629,9.68,40.693,5.269105248
2010,2.911888941,9.212,40.249,6.336523427
2011,2.948418936,8.751,39.763,7.672155435
2012,2.97566284,8.305,39.262,4.50015356
2013,2.994061634,7.887,38.77,6.781585601
2014,3.001801057,7.503,38.302,6.732461868
2015,3.001067041,7.161,37.866,6.160628774
2016,2.997574458,6.868,37.461,6.867116196
2017,2.991812303,6.622,37.075,6.785680114
2018,2.97948066,6.419,36.7,5.444967601
2019,2.960386246,6.254,36.336,5.799999977
2020,2.936777704,6.122,35.981,1.996343506
